PROV,2014_Factor,Pneumonia_Cases_2014,Pneumonia_Ratio_2014,HF_Cases_2014,HF_Ratio_2014,AMI_Cases_2014,AMI_Ratio_2014
100022,0.9969,416,1.032648,663,1.156553,229,1.092553
100023,1.0000,493,0.826345,972,0.897971,657,0.850370
100025,1.0000,439,0.930363,819,0.900442,387,0.904729
100026,0.9984,629,0.897793,1279,0.862843,375,1.095936
100028,0.9999,385,0.915222,480,1.003646,187,0.890069
100029,0.9977,263,1.030445,494,1.097587,259,1.006847
100030,0.9987,263,1.077812,439,0.971400,80,1.002745
100032,0.9981,298,1.027022,323,1.083940,153,1.027840
100034,1.0000,537,0.885431,595,0.973443,421,0.895665
100035,1.0000,376,0.950377,660,0.926677,316,0.959331
100038,0.9944,455,0.994328,824,1.165697,308,1.077528
100039,0.9988,103,0.999815,282,0.932669,142,1.064555
100040,0.9972,894,1.094261,1461,1.068154,558,1.022567
100043,1.0000,189,0.906380,223,0.865362,74,0.982105
100044,0.9998,759,1.008831,965,0.928707,516,0.855987
100045,0.9991,273,0.920756,419,1.017445,100,1.031101
100046,0.9978,252,0.845204,579,0.881704,317,1.087443
100047,0.9966,369,1.134524,677,1.007642,322,1.041428
100048,0.9921,167,1.076898,84,0.913796,3,0.000000
100049,0.9953,233,1.180458,351,1.029091,48,1.060139
100050,0.9928,332,1.122308,346,1.170276,91,1.024821
100051,0.9976,323,1.013280,405,1.047424,113,1.060269
100052,0.9973,537,0.995387,756,1.024855,490,1.068671
100053,0.9959,295,1.021749,329,1.140636,105,1.083930
100054,0.9996,155,0.996035,149,1.026471,22,0.000000
100055,0.9992,219,0.937360,272,1.005056,165,1.023330
100057,0.9985,562,0.894523,921,0.945721,332,1.093703
100062,0.9999,903,1.007737,1435,0.966001,744,0.830487
100063,1.0000,163,0.977013,209,0.982192,134,0.887873
100067,0.9982,284,1.014938,382,1.067984,152,1.070817
100068,0.9978,318,0.991618,688,0.902056,403,1.077320
100069,1.0000,115,1.005577,96,0.985734,11,0.000000
100070,1.0000,487,0.933151,723,0.871521,647,0.835942
100071,0.9993,332,1.013964,427,1.021026,124,0.982636
100072,0.9936,300,1.176319,590,1.074181,86,1.037278
100073,0.9990,492,0.994800,926,1.046620,390,0.992291
100075,0.9974,656,0.965078,909,1.146463,453,0.879540
100076,0.9949,151,1.025243,187,1.142412,36,1.028760
100077,0.9987,271,1.072645,458,0.987846,34,0.998584
100080,0.9963,654,1.052178,1323,1.076509,605,1.042575
100081,0.9997,110,1.004133,121,0.933101,2,0.000000
