PROV,2016_Factor,Pneumonia_Cases_2016,Pneumonia_Ratio_2016,HF_Cases_2016,HF_Ratio_2016,AMI_Cases_2016,AMI_Ratio_2016,HIP_Cases_2016,HIP_Ratio_2016,COPD_Cases_2016,COPD_Ratio_2016
50235,0.9964,520,1.039681873,744,0.964652454,209,1.102086877,371,0.870581729,543,1.049494329
50236,0.9960,194,0.973220452,214,0.922185146,57,1.069645092,68,1.116292714,224,1.036990025
50238,0.9985,405,0.892725215,562,1.021151253,239,0.977235992,408,1.028777274,457,0.90496866
50239,0.9913,627,1.117112277,620,1.086427803,297,1.089459571,532,0.972461114,406,0.970081566
50242,1.0000,355,0.895673205,482,0.858686373,246,0.861571424,314,0.934406415,238,0.991410952
50243,0.9931,265,1.00292934,285,0.957228739,254,1.162303238,210,0.911129231,285,1.028791566
50245,0.9996,79,0.990566218,138,1.017815345,27,1.006943564,18,0,66,0.979447437
50248,0.9976,80,1.033935141,81,0.927490913,11,0,21,0,60,1.068366098
50254,0.9986,338,1.02786777,278,0.873204248,44,0.968050477,247,0.922223231,254,1.004817589
50257,0.9987,41,1.002693025,39,1.028747955,0,0,0,0,50,1.056999241
50261,0.9932,354,0.839983992,281,1.021584591,85,1.148802002,123,0.941422758,331,1.08714956
50262,0.9987,206,1.039891522,355,1.014963601,223,1.047953476,25,1.014645959,79,1.022655308
50272,0.9995,262,0.947062599,119,1.028936993,49,0.911078711,296,0.957320276,117,0.9553876
50276,1.0000,72,0.953222066,80,0.911034825,9,0,0,0,68,0.960774622
50277,0.9998,34,0.980099223,31,1.024661255,4,0,5,0,29,0.990029456
50278,0.9944,425,1.055769257,555,1.031116251,135,1.046743498,221,1.098144287,310,0.941899074
50279,0.9974,164,0.97962739,98,1.007884502,14,0,46,1.071428417,142,0.98424939
50280,1.0000,489,0.904945654,650,0.821487522,357,0.940774654,778,0.808948679,378,0.981025588
50281,0.9999,266,0.883289664,121,0.981978013,34,1.008714745,3,0,163,0.894239846
