"Readmission_Rate","COPD_L","COPD_H","AMI_L","AMI_H","PNE_L","PNE_H","HF_L","HF_H","HIP_L","HIP_H"
0.071,NA,NA,1.04176389483059,1.16211290911567,NA,NA,NA,NA,0.901681218570265,0.937065748239771
0.072,NA,NA,1.04132276232439,1.15840440295343,NA,NA,NA,NA,0.900857067974613,0.936656335727751
0.073,NA,NA,1.04086925062922,1.15473392871768,NA,NA,NA,NA,0.900053924752762,0.936400220567911
0.074,NA,NA,1.04040324099562,1.15110162224144,NA,NA,NA,NA,0.899290141377516,0.936269688503788
0.075,NA,NA,1.0399246103159,1.14750762371599,NA,NA,NA,NA,0.898593344551763,0.936227751048835
0.076,NA,NA,1.03943323087453,1.14395207794041,1.10446250923694,1.21480349022305,1.19336145153988,1.33452048396188,0.897995302271066,0.936233278423827
0.077,NA,NA,1.03892897008729,1.14043513458251,1.10328821265357,1.21023223895223,1.19094458014083,1.32940752467706,0.897526318165985,0.936246605214544
0.078,NA,NA,1.03841169022975,1.13695694845028,1.10210841371278,1.2057141388703,1.18853896732554,1.32433363887714,0.897193632273962,0.936242404159221
0.079,NA,NA,1.03788124815654,1.13351767977267,1.10092311411449,1.20124940333486,1.18614461691253,1.3192988784768,0.896845530034184,0.936274634512563
0.08,NA,NA,1.03733749501295,1.13011749448795,1.09973231010967,1.19683825115242,1.18376153212417,1.3143032959869,0.896446129379242,0.936354365292767
0.081,NA,NA,1.03678027594142,1.12675656453725,1.09853599208162,1.19248090699716,1.1813897155604,1.30934694454069,0.896002710602795,0.936474480166072
0.082,NA,NA,1.03620942978605,1.12343506816006,1.09733414409548,1.18817760186144,1.17902916917114,1.30442987792148,0.895522078701807,0.936628338095407
0.083,NA,NA,1.03562478879936,1.12015319018742,1.09612674341452,1.18392857353949,1.17667989422733,1.29955215059155,0.895010477340118,0.936809859376827
0.084,NA,NA,1.03502617835685,1.1169111223274,1.09491375998264,1.1797340671449,1.17434189129051,1.29471381772255,0.894473543318587,0.937013571169366
0.085,NA,NA,1.03441341668625,1.11370906343584,1.09369515587258,1.17559433566242,1.17201516018099,1.2899149352274,0.893916293208127,0.937234620862008
0.086,1.13323871105619,1.25703553980584,1.03378631462012,1.11054721976376,1.09247088470048,1.17150964053339,1.16969969994441,1.28515555979366,0.893343133663803,0.937468765759581
0.087,1.13159041119866,1.25232748481081,1.03314467538296,1.10742580517023,1.09124089100839,1.16748025227328,1.16739550881673,1.28043574891859,0.892757887822584,0.937712346685011
0.088,1.12994399078411,1.24766296316148,1.03248829442607,1.10434504128751,1.0900051096176,1.16350645111827,1.16510258418764,1.27575556094572,0.892163831547121,0.937962251735542
0.089,1.12829932939819,1.2430419644851,1.03181695932688,1.10130515762175,1.08876346495801,1.15958852769596,1.16282092256222,1.27111505510316,0.891563734734483,0.938215874973999
0.09,1.12665630475805,1.23846448027739,1.03113044977275,1.09830639156915,1.08751587038088,1.15572678371258,1.16055051952098,1.26651429154363,0.890959904242551,0.938471073502396
0.091,1.12501479260138,1.23393050401354,1.0304285376536,1.09534898832339,1.08626222746582,1.15192153264602,1.15829136967807,1.26195333138619,0.89035422609842,0.938726125253532
0.092,1.12337466656877,1.22944003126584,1.02971098729221,1.09243320064523,1.08500242533696,1.14817310042963,1.15604346663782,1.25743223675972,0.889748205520147,0.938979688969246
0.093,1.12173579807888,1.22499305982851,1.02897755584681,1.08955928846004,1.08373634000893,1.1444818261063,1.15380680294954,1.25295107084812,0.889143003924815,0.939230767192349
0.094,1.12009805619639,1.22058958984975,1.02822799392604,1.08672751824272,1.08246383378946,1.14084806242575,1.15158137006047,1.24850989793737,0.888539472549426,0.939478672645733
0.095,1.11846130749247,1.21622962397126,1.0274620464634,1.08393816214337,1.08118475477472,1.13727217634934,1.14936715826719,1.2441087834641,0.887938182617496,0.939722998065777
0.096,1.11682541589764,1.21191316747542,1.02667945390468,1.08119149679975,1.0798989364831,1.13375454941615,1.14716415666528,1.23974779406595,0.887339452180978,0.939963589360422
0.097,1.11519024254692,1.20764022844007,1.02587995376931,1.07848780177601,1.0786061976867,1.13029557791159,1.14497235309745,1.2354269976334,0.886743369885256,0.940200521844181
0.098,1.1135556456175,1.20341081790091,1.02506328265296,1.07582735756006,1.07730634251464,1.12689567276402,1.14279173410029,1.23114646336309,0.886149815968631,0.940434079238645
0.099,1.11192148015895,1.19922495002123,1.02422917874477,1.07321044304632,1.07599916092083,1.12355525907702,1.14062228484975,1.22690626181228,0.885558480835053,0.94066473509976
0.1,1.11028759791654,1.19508264226867,1.0233773849369,1.0706373324262,1.07468442962981,1.12027477518355,1.1384639891055,1.22270646495451,0.884968881542493,0.940893136329448
